word,value
cook,2.9194583606440574
read,2.9077742374502122
coffee,2.905198874650523
when,2.9020324061784777
......,2.895288235042244
themselves,2.881547175347805
scam,2.878765733912587
watery,2.8740415573120117
well,2.851673884957563
lacked,2.849705724976957
are,2.8342559904704103
work,2.8320645868370775
hill,2.829407474026084
asked,2.811890746364952
came,2.8066809312149417
below,2.8015688857994974
beware,2.79054878721945
frozen,2.7803600073239068
policy,2.7722283340990543
vegas,2.771990209206706
particular,2.7612676611170173
lacking,2.7542493823566474
by,2.7431996595769306
unacceptable,2.740230068564415
liked,2.738610837957822
until,2.7346723166119773
calls,2.7273380178958178
every,2.7265327009372413
anyone,2.7256558283697814
subpar,2.718289075884968
watered,2.7156074717640877
visit,2.7078571459569503
waiter,2.66201069339877
impressive,2.658800066448748
spent,2.6530549094313756
authentic,2.644452787237242
think,2.637516734044766
would,2.6259257068450097
positive,2.618435336975381
flavorful,2.5971190724521875
stood,2.587440734729171
mean,2.587013781769201
cleaned,2.5839143781922758
avoid,2.5707210420805495
fail,2.5662375073879957
available,2.560202887514606
served,2.540771072759526
crab,2.5401987120858394
arrived,2.526434377883561
never,2.5237402973361895
difficult,2.5220539905130863
garbage,2.485895650461316
pay,2.483620576938847
grease,2.483079021680169
spot,2.4819668921409175
lobster,2.479458850575611
their,2.4741973657655763
*,2.441826248250436
away,2.424620150057308
inedible,2.418919922783971
totally,2.4121429352089763
shit,2.391429107170552
failed,2.388093886198476
enjoyed,2.370700119296089
cancel,2.370482001453638
loved,2.3686246699653566
plate,2.3683400010340847
offer,2.3542458826559596
nearly,2.3338210319634527
ripped,2.332795658148825
choice,2.3155934364767745
company,2.306881480559241
lousy,2.278374208137393
underwhelming,2.24873336404562
hot,2.245378626816091
miss,2.2443725953926332
expecting,2.2413140715943882
burgers,2.2403581896796823
;,2.2385142915445613
high,2.2328633259458
serve,2.2275996658718213
using,2.223323735408485
professional,2.2204193552024662
ghetto,2.219477050821297
issues,2.2180507980519906
miserable,2.215672817081213
portions,2.207149838039186
warm,2.201029889693018
eh,2.19954420812428
unpleasant,2.1822804175317287
hours,2.179627631616313
top,2.1792785149882548
mcdonald,2.1708786888048053
unimpressed,2.1557587143033743
called,2.150362765911268
credit,2.1467894106172025
needless,2.1460563968867064
potential,2.134432828053832
last,2.1332451938214945
package,2.126353409141302
attention,2.1254344270564616
